horario,t1,t2,t3,t4,t5,t6,
15:06:18,21.75,21.25,21.00,22.25,21.75,21.25,
15:06:19,21.50,21.00,20.25,21.75,21.25,21.50,
15:06:20,22.00,21.00,20.75,22.25,21.75,21.50,
15:06:21,21.50,20.75,21.00,22.25,21.50,21.50,
15:06:22,21.25,21.00,21.00,22.25,21.50,21.25,
15:06:23,21.75,21.25,21.00,21.75,21.50,21.50,
15:06:24,21.50,21.50,21.00,22.00,21.75,21.75,
15:06:25,21.50,21.25,20.50,22.25,21.75,21.75,
15:06:26,21.75,21.50,21.00,22.00,21.25,21.75,
15:06:27,21.50,21.50,20.75,22.25,21.50,20.75,
15:06:28,21.50,21.50,20.75,22.25,21.75,21.50,
15:06:29,21.25,20.50,21.00,22.00,22.00,21.75,
15:06:30,21.50,21.50,21.00,22.00,21.75,21.75,
15:06:31,21.25,21.25,20.75,22.50,21.50,21.75,
15:06:32,21.50,21.00,20.75,22.50,21.50,21.75,
15:06:33,21.50,21.75,20.75,22.50,21.25,21.75,
15:06:34,21.50,21.25,20.75,22.50,21.50,21.75,
15:06:35,21.25,21.00,21.00,22.25,21.50,21.75,
15:06:36,21.50,21.00,20.50,22.25,21.50,21.75,
15:06:37,21.50,21.00,21.00,22.50,21.75,21.00,
15:06:38,21.50,21.25,21.00,22.00,21.50,21.25,
15:06:39,21.50,21.00,20.50,21.50,21.50,21.50,
15:06:40,22.00,20.50,20.75,22.00,21.75,21.50,
15:06:41,22.00,21.50,21.00,22.50,21.50,21.75,
15:06:42,21.50,21.50,21.00,22.50,21.75,21.75,
15:06:43,21.50,21.50,21.00,22.00,21.50,21.75,
15:06:44,21.75,21.50,21.25,21.75,21.75,21.50,
15:06:45,21.50,21.50,21.00,21.50,21.75,21.50,
15:06:46,21.50,21.50,20.50,22.00,21.50,21.50,
15:06:47,21.25,21.50,21.00,21.75,21.50,21.50,
15:06:48,21.75,21.50,20.50,21.75,21.75,21.75,
15:06:49,21.50,21.25,20.25,22.50,21.50,21.75,
15:06:50,21.50,21.50,21.00,22.00,21.75,21.75,
15:06:51,21.25,21.50,20.50,22.00,21.75,21.75,
15:06:52,21.75,21.50,20.75,22.00,21.50,21.50,
15:06:53,21.25,21.75,20.75,22.00,21.50,21.75,
15:06:54,21.50,21.25,21.00,22.50,21.75,21.25,
15:06:55,21.50,20.75,21.00,22.25,21.25,21.50,
15:06:56,21.75,20.75,21.00,22.00,21.25,21.00,
15:06:57,21.50,21.50,20.75,21.75,21.50,21.25,
15:06:58,21.75,21.25,20.75,22.00,21.00,21.00,
15:06:59,21.50,21.25,20.75,21.75,21.75,21.50,
15:07:00,21.25,21.00,20.50,22.25,21.75,21.75,
15:07:01,21.25,21.50,20.25,22.00,21.50,21.50,
15:07:02,21.75,21.25,20.50,21.75,21.50,21.00,
15:07:03,21.50,21.00,21.00,22.25,21.75,21.25,
15:07:04,21.75,21.00,21.00,22.00,21.25,21.50,
15:07:05,21.50,21.50,20.75,22.00,21.50,21.25,
15:07:06,21.75,21.25,20.75,22.00,21.50,21.75,
15:07:07,21.75,21.25,21.00,21.75,21.75,21.50,
15:07:08,21.75,21.25,21.00,22.00,21.75,21.50,
15:07:09,21.25,21.50,21.00,22.25,21.25,21.50,
15:07:10,21.25,21.25,20.50,22.25,21.75,21.50,
15:07:11,21.50,21.50,21.00,22.00,21.75,21.00,
15:07:12,21.25,21.25,20.75,21.50,21.50,21.75,
15:07:13,21.50,21.00,20.75,22.25,21.75,21.25,
15:07:14,21.25,21.25,20.50,22.25,21.75,21.50,
15:07:15,21.75,21.25,20.75,22.25,21.50,21.75,
15:07:16,21.50,21.50,21.00,22.00,21.75,22.00,
15:07:17,21.75,21.25,20.50,22.25,21.75,21.25,
15:07:18,21.50,21.50,21.00,22.25,21.75,21.50,
15:07:19,21.75,21.50,20.75,22.25,21.50,21.50,
15:07:20,21.75,21.25,21.00,22.00,21.50,22.00,
15:07:21,21.25,21.50,21.00,22.25,21.50,21.50,
15:07:22,21.00,21.25,20.75,22.25,21.75,21.25,
15:07:23,21.50,21.25,20.50,22.25,21.50,21.75,
15:07:24,21.50,21.00,20.50,21.75,21.50,22.00,
15:07:25,21.25,21.50,20.50,22.00,21.50,21.50,
15:07:26,21.50,21.00,21.00,21.50,21.50,21.50,
15:07:27,21.75,21.00,20.25,22.25,21.50,21.50,
15:07:28,21.00,21.25,21.00,22.50,21.75,21.25,
15:07:29,21.25,21.25,20.75,22.25,21.50,21.75,
15:07:30,21.50,21.25,20.50,21.50,21.25,21.00,
15:07:31,21.50,21.00,20.75,22.25,21.75,21.50,
15:07:32,21.00,21.25,20.50,22.00,21.50,21.50,
15:07:33,21.50,21.25,20.75,22.25,21.75,21.50,
15:07:34,21.75,21.00,21.00,21.75,21.00,21.75,
15:07:35,21.25,21.50,21.00,22.00,21.75,21.50,
15:07:36,21.25,20.75,20.50,21.75,21.75,21.50,
15:07:37,21.50,20.75,20.25,22.25,21.50,21.00,
15:07:38,21.75,21.50,20.75,22.25,21.25,21.00,
15:07:39,21.75,20.75,20.75,21.75,21.75,21.50,
15:07:40,21.00,21.75,20.50,22.00,21.75,21.50,
15:07:41,21.75,21.00,20.50,22.00,21.75,21.50,
15:07:42,21.50,21.00,21.00,22.00,21.25,21.50,
15:07:43,21.50,21.25,20.75,21.75,22.00,21.50,
15:07:44,21.25,21.25,21.00,22.25,21.75,21.25,
15:07:45,21.25,20.75,20.75,21.75,21.25,21.50,
15:07:46,21.25,21.25,20.75,22.25,21.75,21.25,
15:07:47,21.25,21.50,20.50,21.75,21.25,21.50,
15:07:48,21.50,21.25,20.50,22.25,21.25,21.00,
15:07:49,21.75,20.75,20.75,22.00,21.50,21.50,
15:07:50,21.50,21.50,20.25,21.75,21.25,21.75,
15:07:51,21.75,21.25,20.75,22.50,21.75,21.00,
15:07:52,21.75,21.25,21.00,21.75,21.75,21.50,
15:07:53,21.75,20.75,20.25,22.00,21.25,21.50,
15:07:54,21.50,21.25,20.75,22.25,21.50,21.25,
15:07:55,21.75,21.25,20.75,22.25,21.75,21.25,
15:07:56,21.25,21.25,21.00,21.75,21.50,21.50,
15:07:57,21.75,21.50,20.75,21.25,21.75,21.25,
15:07:58,21.25,21.50,20.25,21.75,21.50,21.50,
15:07:59,21.75,21.25,20.75,22.00,21.50,21.25,
15:08:00,20.75,21.25,20.75,22.50,21.50,21.75,
15:08:01,21.75,20.75,20.75,22.25,21.50,21.75,
15:08:02,21.75,21.00,20.75,22.00,21.50,21.50,
15:08:03,21.25,21.50,21.00,22.00,21.50,21.25,
15:08:04,21.50,21.00,20.75,22.25,21.50,22.00,
15:08:05,21.00,21.00,20.75,22.00,21.50,21.50,
15:08:06,21.25,21.50,20.50,22.25,21.50,21.50,
15:08:07,21.75,21.75,20.75,21.50,21.00,21.50,
15:08:08,21.00,21.25,20.50,22.00,21.50,21.50,
15:08:09,21.50,21.00,21.00,21.75,21.00,21.50,
15:08:10,21.50,21.50,21.00,22.00,21.50,21.75,
15:08:11,21.25,20.75,20.75,21.25,21.75,21.50,
15:08:12,21.50,20.75,20.75,21.75,21.25,21.75,
15:08:13,21.25,21.00,20.75,21.75,21.50,21.50,
15:08:14,21.00,20.75,20.75,21.25,21.75,21.50,
15:08:15,21.50,21.25,20.75,22.25,21.50,21.75,
15:08:16,21.50,21.25,20.75,22.00,21.50,21.50,
15:08:17,21.25,20.75,20.50,22.00,21.50,21.50,
15:08:18,21.50,21.25,20.75,21.75,21.00,21.25,
15:08:19,21.25,20.50,20.75,22.00,21.25,21.75,
15:08:20,21.50,20.75,20.75,22.00,21.75,21.75,
15:08:21,21.50,21.00,21.00,21.75,20.75,21.00,
15:08:22,21.25,20.75,21.00,22.00,21.50,21.50,
15:08:23,21.50,21.00,20.75,21.75,21.75,21.25,
15:08:24,21.50,21.25,20.75,21.75,21.50,21.75,
15:08:25,21.50,21.00,20.75,21.25,21.75,21.50,
15:08:26,21.50,21.25,20.50,22.00,21.75,21.75,
15:08:27,21.50,21.50,20.50,21.50,21.50,21.75,
15:08:28,21.50,21.25,20.50,22.00,21.25,21.75,
15:08:29,21.50,21.00,20.75,21.75,21.50,21.50,
15:08:30,21.25,20.50,20.50,22.00,21.50,21.50,
15:08:31,21.50,21.25,21.00,21.75,21.50,21.75,
15:08:32,21.50,21.50,20.75,22.00,21.50,21.75,
15:08:33,21.50,21.00,21.00,22.50,21.50,21.50,
15:08:34,21.50,21.25,20.75,21.50,21.75,21.75,
15:08:35,21.50,21.25,20.75,22.00,21.50,21.75,
15:08:36,21.50,21.25,20.75,21.50,21.50,21.25,
15:08:37,21.50,20.75,20.50,22.00,21.50,21.25,
15:08:38,21.25,21.00,20.50,21.75,21.50,21.75,
15:08:39,21.50,20.50,20.75,22.00,21.50,21.25,
15:08:40,21.50,20.75,20.75,21.25,21.50,21.75,
15:08:41,21.75,21.25,21.00,21.75,21.50,21.50,
15:08:42,21.50,20.75,20.50,21.75,21.50,21.25,
15:08:43,21.50,21.50,20.75,21.75,21.75,21.25,
15:08:44,21.50,21.00,20.50,22.00,21.25,21.25,
15:08:45,21.00,20.75,20.75,22.00,21.50,21.75,
15:08:46,21.00,21.25,20.75,21.75,21.75,21.50,
15:08:47,21.50,21.50,20.75,22.25,21.50,21.25,
15:08:48,21.50,21.00,20.50,22.00,21.50,21.50,
15:08:49,21.50,21.25,20.75,22.00,21.75,22.25,
15:08:50,21.00,21.25,20.50,22.00,21.50,21.75,
15:08:51,21.50,21.00,21.00,22.25,21.50,21.75,
15:08:52,21.25,20.50,20.50,22.00,21.25,21.75,
15:08:53,21.50,21.00,20.50,21.75,21.75,21.00,
15:08:54,21.25,20.75,20.75,22.25,21.50,21.75,
15:08:55,21.50,21.25,21.00,21.75,21.50,21.00,
15:08:56,21.50,21.25,20.75,22.00,21.50,21.75,
15:08:57,21.50,21.50,20.00,21.75,21.75,21.50,
15:08:58,21.50,21.50,20.75,22.00,21.50,21.75,
15:08:59,21.25,20.75,20.75,22.50,21.50,21.75,
15:09:00,21.50,21.00,20.50,22.00,21.50,21.25,
15:09:01,21.50,21.00,20.75,22.25,21.75,21.75,
15:09:02,21.50,21.25,20.50,22.00,21.25,21.50,
15:09:03,21.00,21.25,20.75,21.50,21.00,21.50,
15:09:04,21.25,20.75,20.75,22.00,21.25,21.75,
15:09:05,21.50,20.75,20.75,22.00,20.75,21.75,
15:09:06,21.00,20.75,21.00,22.00,21.00,21.25,
15:09:07,21.50,21.50,20.25,21.75,21.50,21.50,
15:09:08,21.00,21.25,20.75,22.00,22.00,21.75,
15:09:09,21.50,21.25,20.75,22.00,21.50,21.50,
15:09:10,21.25,21.25,21.00,21.50,21.25,21.50,
15:09:11,21.25,21.25,20.25,22.00,21.25,21.50,
15:09:12,21.50,21.25,21.00,22.25,21.00,21.75,
15:09:13,21.50,21.25,20.75,22.25,21.50,21.50,
15:09:14,21.50,21.00,20.50,22.00,21.00,21.50,
15:09:15,21.25,21.25,20.50,22.00,21.75,21.25,
15:09:16,21.25,21.25,20.75,21.75,21.25,21.75,
15:09:17,21.25,20.75,20.75,21.75,21.25,21.25,
15:09:18,21.75,21.00,20.75,22.00,21.25,21.50,
15:09:19,21.00,21.50,20.50,21.75,21.75,21.75,
15:09:20,21.50,21.00,20.75,22.00,21.50,21.00,
15:09:21,21.50,21.25,20.75,21.75,21.50,21.75,
15:09:22,21.50,21.25,20.50,22.25,21.00,21.50,
15:09:23,21.50,20.50,20.75,22.00,21.75,21.75,
15:09:24,21.25,20.75,20.25,21.75,21.25,21.75,
15:09:25,21.50,21.25,20.75,22.00,21.50,21.50,
15:09:26,21.25,21.00,20.25,22.00,21.75,21.50,
15:09:27,21.50,21.25,20.50,22.00,21.75,21.75,
15:09:28,21.50,21.50,21.00,22.00,21.50,21.75,
15:09:29,21.00,21.25,20.75,22.00,21.50,21.50,
15:09:30,21.00,21.25,20.75,21.75,21.50,21.75,
15:09:31,21.25,20.25,20.75,22.25,21.00,21.75,
15:09:32,21.25,21.25,20.50,21.75,21.25,21.25,
15:09:33,21.50,21.25,20.75,21.75,21.25,21.75,
15:09:34,21.50,21.50,20.75,22.00,21.50,21.50,
15:09:35,21.00,21.25,20.75,21.75,21.50,21.75,
15:09:36,21.25,21.25,21.00,22.25,21.50,21.75,
15:09:37,21.50,20.75,21.00,21.75,21.00,21.50,
15:09:38,21.50,21.00,20.75,22.00,21.75,21.50,
15:09:39,21.75,21.00,20.75,21.75,21.75,21.75,
15:09:40,21.25,21.25,21.00,22.00,21.25,21.75,
15:09:41,21.75,21.25,20.75,21.75,21.25,21.75,
15:09:42,21.50,21.00,20.75,22.00,21.25,21.75,
15:09:43,21.50,21.00,20.75,22.00,21.25,21.25,
15:09:44,21.50,21.50,20.75,21.50,21.50,21.50,
15:09:45,21.50,21.00,20.75,21.25,21.50,21.75,
15:09:46,21.75,21.50,20.75,22.25,21.50,21.75,
15:09:47,21.25,21.00,20.50,22.25,21.50,21.50,
15:09:48,21.25,21.25,20.75,21.50,21.25,21.00,
15:09:49,21.50,20.75,20.75,21.50,21.50,21.50,
15:09:50,21.50,21.25,20.75,21.75,21.00,21.00,
15:09:51,21.50,21.25,20.75,22.00,20.75,21.25,
15:09:52,21.00,20.25,20.50,21.75,21.00,21.75,
15:09:53,21.00,21.25,20.25,22.25,21.75,21.75,
15:09:54,21.25,21.00,20.50,21.75,21.50,21.75,
15:09:55,21.25,21.25,20.75,22.00,21.50,21.50,
15:09:56,21.50,20.50,20.75,22.25,20.75,21.75,
15:09:57,21.75,21.00,20.75,21.75,21.50,21.75,
15:09:58,21.25,21.00,20.75,22.25,21.75,21.25,
15:09:59,21.25,21.25,20.75,22.00,21.50,21.75,
15:10:00,22.00,20.75,20.75,22.25,21.50,21.75,
15:10:01,21.50,21.25,20.75,21.75,21.25,21.75,
15:10:02,21.50,20.75,20.75,22.00,21.25,21.25,
15:10:03,21.50,21.25,20.75,22.00,21.50,21.75,
15:10:04,21.50,21.25,20.25,22.00,21.50,21.25,
15:10:05,21.50,21.25,21.00,22.00,21.75,21.50,
15:10:06,21.75,21.50,20.50,21.75,21.25,21.75,
15:10:07,21.25,21.50,20.25,22.25,21.25,21.50,
15:10:08,21.25,21.50,21.00,22.00,21.50,21.00,
15:10:09,21.25,21.25,21.00,22.00,21.00,21.25,
15:10:10,21.00,21.25,20.75,22.25,21.00,21.75,
15:10:11,21.50,21.25,20.75,22.25,21.50,21.50,
15:10:12,21.50,21.25,20.75,22.00,21.50,21.50,
15:10:13,21.25,21.25,20.25,21.75,21.25,21.75,
15:10:14,21.25,21.25,20.75,21.50,21.00,21.75,
15:10:15,21.50,21.25,20.50,22.25,20.75,21.75,
15:10:16,21.50,21.25,21.00,21.75,22.00,21.50,
15:10:17,21.00,21.25,20.75,22.00,21.50,21.50,
15:10:18,21.50,21.00,20.75,22.00,21.50,21.50,
15:10:19,21.25,21.50,20.75,21.75,21.50,21.75,
15:10:20,21.50,21.25,20.25,22.00,21.75,21.25,
15:10:21,21.50,21.25,21.00,21.75,21.00,21.50,
15:10:22,21.25,21.00,20.75,22.00,21.50,21.50,
15:10:23,21.25,20.75,20.75,21.75,21.25,21.50,
15:10:24,21.00,21.00,20.75,22.25,21.25,21.50,
15:10:25,21.25,21.25,21.00,21.75,21.25,21.75,
15:10:26,21.00,21.25,20.50,22.25,21.75,21.25,
15:10:27,21.50,21.50,20.75,21.75,21.25,21.75,
15:10:28,21.50,21.00,20.50,21.75,21.50,21.75,
15:10:29,21.50,20.75,20.50,22.00,21.25,21.25,
15:33:30,26.25,26.00,25.00,26.75,26.00,25.50,25 - 24.7 c°
15:33:31,26.25,26.00,25.25,26.25,26.25,25.50,
15:33:32,26.25,26.00,25.50,26.25,26.00,25.50,
15:33:33,26.50,26.00,25.50,26.25,26.25,26.25,
15:33:34,26.00,26.00,25.25,26.75,26.25,26.25,
15:33:35,26.25,26.00,25.25,26.75,26.25,26.25,
15:33:36,26.00,26.00,25.50,26.75,26.25,25.25,
15:33:37,26.00,26.00,25.50,26.75,26.25,26.00,
15:33:38,26.25,26.00,25.00,26.75,26.25,26.00,
15:33:39,26.00,26.00,25.25,26.75,25.25,26.00,
15:33:40,26.00,26.00,25.50,27.00,26.00,25.75,
15:33:41,26.25,26.00,25.25,26.75,26.00,26.00,
15:33:42,26.25,26.00,25.25,26.75,26.00,26.00,
15:33:43,26.50,26.00,25.75,26.75,26.00,25.50,
15:33:44,26.50,26.25,25.50,26.50,26.25,26.25,
15:33:45,26.50,26.00,25.50,26.75,26.25,25.75,
15:33:46,26.00,25.75,25.00,27.00,26.25,26.50,
15:33:47,26.50,25.75,25.25,27.00,26.25,26.00,
15:33:48,26.25,26.00,25.50,26.75,26.00,25.75,
15:33:49,26.25,26.00,25.25,26.50,26.25,26.00,
15:33:50,26.25,26.00,25.50,26.75,26.00,26.25,
15:33:51,26.25,25.75,25.50,26.50,26.25,26.25,
15:33:52,26.00,26.00,25.50,26.75,26.25,26.25,
15:33:53,26.25,26.00,25.25,26.75,26.25,26.25,
15:33:54,26.25,26.00,25.00,27.00,26.00,26.00,
15:33:55,25.75,25.50,25.25,26.75,26.25,25.75,
15:33:56,26.25,26.00,25.00,26.25,26.25,26.25,
15:33:57,26.25,25.50,25.50,26.75,26.25,26.00,
15:33:58,26.75,26.00,25.00,26.25,26.00,26.25,
15:33:59,26.25,26.00,25.00,26.75,26.00,26.25,
15:34:00,26.25,25.50,25.00,26.75,26.25,26.25,
15:34:01,26.00,25.50,25.50,27.00,25.75,25.50,
15:34:02,26.50,25.50,25.50,26.25,26.00,26.25,
15:34:03,25.75,26.00,25.50,26.75,26.25,26.25,
15:34:04,26.00,26.00,25.50,26.75,26.00,26.25,
15:34:05,26.25,26.00,25.25,26.75,26.00,25.75,
15:34:06,26.25,26.00,25.50,27.00,26.25,26.25,
15:34:07,26.25,26.00,25.50,26.75,26.00,26.25,
15:34:08,26.25,26.00,25.50,26.50,25.75,26.00,
15:34:09,26.00,26.00,25.25,26.50,26.00,26.25,
15:34:10,26.00,26.00,25.25,26.75,26.25,26.00,
15:34:11,26.25,26.00,25.00,26.50,26.25,26.25,
15:34:12,25.75,26.00,25.50,26.75,26.00,26.00,
15:34:13,26.25,26.00,25.25,26.75,26.00,26.00,
15:34:14,26.25,26.00,25.00,26.75,25.50,26.25,
15:34:15,26.00,26.00,25.75,26.75,26.00,26.00,
15:34:16,26.00,26.00,25.50,26.75,25.75,25.75,
15:34:17,26.50,26.25,25.50,26.50,26.25,26.00,
15:34:18,26.25,26.00,25.50,26.75,25.75,26.00,
15:34:19,26.25,26.00,25.50,26.75,26.00,26.00,
15:34:20,26.50,26.00,25.75,26.75,26.25,26.25,
15:34:21,26.00,26.00,25.50,26.75,26.00,26.00,
15:34:22,26.50,26.00,25.50,26.75,26.00,26.00,
15:34:23,26.25,25.75,25.50,26.50,25.75,26.00,
15:34:24,26.50,26.00,25.25,26.50,26.25,25.75,
15:34:25,26.50,25.75,25.50,26.25,26.25,26.25,
15:34:26,26.25,26.25,25.75,27.00,26.25,25.75,
15:34:27,26.25,26.00,25.50,27.00,26.25,26.25,
15:34:28,26.50,26.00,25.00,26.75,26.00,26.00,
15:34:29,26.25,26.25,25.75,26.75,26.25,26.25,
15:34:30,26.50,26.00,25.50,26.25,26.25,26.50,
15:34:31,26.50,26.00,25.50,27.00,26.25,26.25,
15:34:32,26.25,26.00,25.50,27.00,26.25,26.00,
15:34:33,25.75,25.75,25.75,27.00,26.25,25.75,
15:34:34,26.25,26.00,25.50,26.75,25.75,26.25,
15:34:37,26.50,25.50,25.50,26.25,26.25,26.50,
15:34:38,26.00,26.25,25.50,26.25,26.25,26.25,
15:34:39,26.50,25.50,25.50,27.00,26.00,26.00,
15:34:40,26.00,26.25,25.25,26.75,26.00,26.00,
15:34:41,26.00,26.00,25.25,26.50,26.25,26.00,
15:34:42,26.50,26.25,25.25,26.75,26.00,26.50,
15:34:43,26.00,26.00,25.25,26.50,25.75,26.25,
15:34:44,26.25,25.50,25.50,27.00,25.75,26.25,
15:34:45,26.00,25.75,25.00,26.75,26.25,26.00,
15:34:46,26.00,26.00,25.50,27.00,26.25,26.00,
15:34:47,26.00,26.25,25.50,26.75,26.25,26.25,
15:34:48,26.25,26.00,25.50,26.50,26.25,26.25,
15:34:49,26.50,25.75,25.50,27.00,26.50,26.25,
15:34:50,26.25,26.25,25.50,27.00,26.25,26.00,
15:34:51,26.75,26.00,25.75,26.75,25.75,26.25,
15:34:52,26.25,26.00,25.25,26.50,25.75,26.25,
15:34:53,26.50,26.00,25.50,26.75,26.25,26.50,
15:34:54,26.50,26.00,25.50,26.75,26.00,26.00,
15:34:55,26.25,26.00,25.75,26.75,25.75,26.00,
15:34:56,26.75,26.25,25.75,26.50,26.25,26.00,
15:34:57,26.25,25.75,25.50,26.75,26.00,25.75,
15:34:58,26.25,26.25,25.50,26.25,26.25,26.00,
15:34:59,26.50,26.00,25.25,26.50,26.25,26.25,
15:35:00,26.25,26.25,25.75,26.50,26.25,26.25,
15:35:01,26.50,26.25,25.25,27.00,26.25,26.00,
15:35:02,26.25,26.25,25.50,26.75,25.75,26.00,
15:35:03,26.25,26.25,25.25,27.00,26.25,25.50,
15:35:04,26.00,26.00,25.25,26.75,26.25,26.25,
15:35:05,26.25,25.75,25.25,26.75,26.25,25.50,
15:35:06,26.25,26.25,25.50,26.75,26.00,26.50,
15:35:07,26.50,26.00,24.75,26.50,25.75,26.25,
15:35:08,26.50,25.75,25.50,27.00,26.25,25.75,
15:35:09,26.50,26.25,25.25,27.00,26.00,26.25,
15:35:10,26.25,26.00,25.50,27.00,25.75,26.00,
15:35:11,26.00,26.00,25.25,26.50,26.25,26.00,
15:35:12,25.75,26.00,25.75,26.75,26.25,26.25,
15:35:13,26.25,26.25,25.25,26.50,26.00,26.25,
15:35:14,26.50,26.00,25.50,26.75,26.25,26.25,
15:35:15,26.25,25.75,25.50,26.75,26.25,26.50,
15:35:16,26.25,26.00,25.50,26.75,26.25,26.25,
15:35:17,26.50,26.25,25.50,27.00,26.25,26.25,
15:35:18,26.50,25.75,25.00,26.75,26.25,26.00,
15:35:19,26.50,26.25,25.25,26.75,26.25,26.25,
15:35:20,26.00,26.25,25.50,26.50,26.25,26.25,
15:35:21,26.50,26.00,25.50,27.00,26.25,26.25,
15:35:22,26.25,26.00,25.50,26.75,25.75,26.00,
15:35:23,26.00,25.75,25.50,26.75,26.25,26.25,
15:35:24,26.25,26.00,25.50,26.50,26.50,26.25,
15:35:25,26.50,26.00,25.25,27.00,26.50,26.50,
15:35:26,26.25,25.50,25.50,26.25,25.50,26.00,
15:35:27,26.50,25.75,25.75,26.75,26.25,26.25,
15:35:28,26.25,26.00,25.75,26.50,26.00,26.00,
15:35:29,26.25,25.75,25.25,26.50,26.25,26.00,
15:35:30,26.25,26.00,25.75,27.00,26.25,25.75,
15:35:31,26.25,26.50,25.75,26.75,26.25,26.50,
15:35:32,26.50,26.25,25.00,26.75,26.25,26.50,
15:35:33,26.25,26.00,25.50,26.75,26.25,26.25,
15:35:34,26.75,25.50,25.50,27.00,26.00,26.00,
15:35:35,26.25,26.00,25.50,27.25,26.25,26.25,
15:35:36,26.25,26.25,25.75,26.75,26.25,26.00,
15:35:37,26.50,26.00,24.75,26.50,25.50,26.25,
15:35:38,26.25,26.00,25.50,26.75,26.25,26.50,
15:35:39,26.50,26.25,25.50,26.50,26.50,26.00,
15:35:40,26.25,26.50,25.50,26.75,26.00,26.00,
15:35:41,26.25,26.25,25.50,27.00,26.25,25.50,
15:35:42,26.25,26.00,25.75,27.00,26.25,25.75,
15:35:43,26.25,25.50,25.50,27.00,26.25,26.25,
15:35:44,26.25,26.00,25.00,26.75,26.25,25.75,
15:35:45,26.25,26.00,25.25,26.75,26.25,26.25,
15:35:46,26.50,26.25,25.50,26.75,26.25,26.25,
15:35:47,26.00,26.00,25.75,27.00,26.25,26.25,
15:35:48,26.75,25.75,25.50,27.00,25.75,26.50,
15:35:49,26.50,26.00,25.50,26.75,26.50,26.25,
15:35:50,25.75,26.25,25.50,26.75,26.50,26.25,
15:35:51,26.25,26.50,25.50,26.75,26.00,26.50,
15:35:52,26.50,25.50,25.25,27.00,26.25,26.50,
15:35:53,26.50,26.25,25.25,26.75,26.25,26.25,
15:35:54,26.50,26.25,25.75,26.75,26.25,26.00,
15:35:55,26.50,26.00,25.50,27.25,26.25,26.25,
15:35:56,26.50,26.50,25.25,26.75,26.25,26.25,
15:35:57,26.75,26.25,25.25,26.75,26.25,26.25,
15:35:58,26.00,26.50,25.75,27.00,26.50,26.50,
15:35:59,26.50,26.00,25.00,27.25,26.50,26.25,
